Batch ,Sample_ID
449,NH22-3459
449,NH22-3477
449,NH22-3479
449,NH22-3493
450,NH22-3512
450,NH22-3528
451,NH22-3289
451,NH22-3500
451,NH22-3502
451,NH22-3525
451,NH22-3529
452,NH22-3480
452,NH22-3530
453,NH22-3532
453,NH22-3548
453,NH22-3570
453,NH22-3577
453,NH22-3578
453,NH22-3579
453,NH22-3580
454,NH22-3383
454,NH22-3490
454,NH22-3560
454,NH22-3565
454,NH22-3566
454,NH22-3586
455,NH22-3430
455,NH22-3608
456,NH22-3377
456,NH22-3602
456,NH22-3619
456,NH22-3626
456,NH22-3628
456,NH22-3629
456,NH22-3630
457,NH22-3620
457,NH22-3636
458,NH22-3651
458,NH22-3652
458,NH22-3657
458,NH22-3672
458,NH22-3673
459,NH22-3294
459,NH22-3698
460,NH22-3502
460,NH22-3692
460,NH22-3694
460,NH22-3695
460,NH22-3713
461,NH22-3163
461,NH22-3740
461,NH22-3746
462,NH22-3774
462,NH22-3775
462,NH22-3777
462,NH22-3778
462,NH22-3782
463,NH22-3761
463,NH22-3763
463,NH22-3795
463,NH22-3803
464,NH22-3797
464,NH22-3798
464,NH22-3800
464,NH22-3822
465,NH22-3765
465,NH22-3817
465,NH22-3833
466,NH22-3707
466,NH22-3849
466,NH22-3852
466,NH22-3854
467,NH22-3843
467,NH22-3848
468,NH22-3710
468,NH22-3871
469,NH22-3897
469,NH22-3899
469,NH22-3903
469,NH22-3915
469,NH22-3916
469,NH22-3918
470,NH22-3875
470,NH23-20
470,NH23-22
470,NH23-5
471,NH22-3791
471,NH22-3836
471,NH23-30
471,NH23-32
471,NH23-35
471,NH23-9
472,NH16-1137
472,NH22-3791
472,NH22-3836
472,NH23-45
472,NH23-54
473,NH23-60
473,NH23-70
473,NH23-81
474,NH23-63
474,NH23-93
474,NH23-94
474,NH23-99
475,NH23-100
475,NH23-106
475,NH23-107
475,NH23-56
475,NH23-63
475,NH23-64
476,NH23-105
476,NH23-107
476,NH23-120
476,NH23-122
476,NH23-123
477,NH23-126
477,NH23-136
477,NH23-147
477,NH23-157
477,NH23-161
478,NH23-130
478,NH23-172
478,NH23-194
478,NH23-215
479,NH23-199
479,NH23-224
479,NH23-227
480,NH23-197
480,NH23-200
480,NH23-226
480,NH23-232
480,NH23-239
480,NH23-251
481,NH23-262
481,NH23-275
481,NH23-286
481,NH23-340
482,NH23-264
482,NH23-273
482,NH23-293
482,NH23-294
482,NH23-297
483,NH23-269
483,NH23-280
483,NH23-311
484,NH23-287
